hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
10.328779562695,8,3,4,3.0,3.0,2.0,28,Travel_Rarely,Research & Development,10,1,Medical,1,2734,Male,1,Sales Executive,Single,25610,1.0,Y,22,8,1,2.0,3,2,2,2
10.175152833556389,3,3,3,4.0,3.0,3.0,34,Travel_Rarely,Human Resources,2,3,Human Resources,1,3767,Male,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,10,8,6
6.511790495314444,17,4,3,1.0,3.0,,40,Travel_Rarely,Research & Development,28,3,Medical,1,4410,Male,2,Laboratory Technician,Divorced,54680,0.0,Y,12,8,0,,6,21,3,9
9.755817715305556,17,3,3,2.0,1.0,3.0,45,Travel_Rarely,Sales,10,2,Marketing,1,3717,Male,1,Sales Executive,Divorced,38330,2.0,Y,14,8,0,24.0,1,7,0,7
5.692332663989166,17,3,3,4.0,1.0,3.0,27,Travel_Rarely,Research & Development,2,1,Life Sciences,1,2362,Male,4,Research Scientist,Divorced,44470,1.0,Y,13,8,0,7.0,4,7,0,7
5.784857206604166,9,3,3,4.0,4.0,2.0,37,Travel_Rarely,Sales,1,4,Life Sciences,1,1553,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4
7.417016956715556,6,2,3,3.0,2.0,3.0,38,Travel_Rarely,Research & Development,2,3,Medical,1,855,Female,3,Sales Executive,Married,49080,4.0,Y,19,8,1,7.0,3,5,1,4
5.826133422579167,7,2,3,3.0,3.0,4.0,35,Travel_Frequently,Research & Development,19,3,Life Sciences,1,1441,Female,1,Sales Executive,Single,21450,1.0,Y,13,8,0,10.0,6,10,0,8
6.1116555109325,11,2,3,4.0,3.0,1.0,31,Travel_Frequently,Research & Development,29,3,Life Sciences,1,3768,Female,2,Healthcare Representative,Single,25150,1.0,Y,14,8,0,7.0,3,7,7,7
7.067336010709444,21,2,3,3.0,2.0,2.0,26,Travel_Rarely,Sales,17,3,Medical,1,2808,Female,2,Manager,Married,57690,1.0,Y,19,8,0,5.0,4,5,4,3
9.676504908522778,8,4,3,4.0,3.0,3.0,27,Travel_Rarely,Research & Development,2,5,Life Sciences,1,740,Female,1,Research Scientist,Single,137700,1.0,Y,18,8,1,8.0,3,8,7,7
6.384019410977222,16,2,3,1.0,3.0,3.0,42,Travel_Frequently,Sales,10,3,Marketing,1,152,Female,2,Healthcare Representative,Divorced,28370,2.0,Y,13,8,1,19.0,0,5,0,2
7.284447791164444,14,3,3,2.0,4.0,2.0,30,Travel_Rarely,Sales,12,4,Life Sciences,1,4021,Female,2,Sales Executive,Single,49500,1.0,Y,12,8,2,1.0,3,1,0,0
6.809900713966944,14,2,3,1.0,1.0,3.0,25,Travel_Rarely,Sales,16,4,Life Sciences,1,3704,Male,2,Research Scientist,Married,198590,3.0,Y,19,8,0,6.0,3,3,2,2
5.865969433288611,20,2,3,3.0,3.0,3.0,35,Travel_Rarely,Human Resources,1,3,Human Resources,1,3381,Male,3,Laboratory Technician,Married,136750,1.0,Y,15,8,3,5.0,5,5,1,0
8.217533467201944,19,3,3,4.0,1.0,3.0,54,Travel_Rarely,Research & Development,18,4,Medical,1,1788,Female,2,Laboratory Technician,Divorced,49630,9.0,Y,15,8,1,9.0,2,5,1,4
9.933382418563056,5,2,3,1.0,2.0,3.0,26,Travel_Rarely,Research & Development,4,3,Medical,1,2971,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2
5.7503859883977775,17,3,3,2.0,3.0,2.0,33,Non-Travel,Research & Development,1,3,Life Sciences,1,1158,Male,2,Research Scientist,Divorced,140260,1.0,Y,12,8,0,1.0,4,1,0,0
6.471661088799444,11,3,3,2.0,1.0,3.0,45,Travel_Rarely,Research & Development,1,2,Medical,1,2750,Female,1,Sales Executive,Divorced,70830,2.0,Y,12,8,1,25.0,5,1,0,0
9.923053324408611,11,2,3,4.0,3.0,3.0,35,Travel_Rarely,Research & Development,4,3,Life Sciences,1,4105,Male,2,Healthcare Representative,Married,78980,7.0,Y,15,8,0,5.0,2,2,2,2
10.536275100401388,10,3,4,1.0,1.0,3.0,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3
7.290853413654444,17,3,3,3.0,2.0,3.0,41,Non-Travel,Sales,6,3,Life Sciences,1,694,Female,1,Research Director,Single,27730,1.0,Y,11,8,0,19.0,3,19,11,9
7.97500334672,18,2,3,4.0,4.0,2.0,29,Travel_Frequently,Research & Development,13,2,Life Sciences,1,4015,Female,1,Laboratory Technician,Single,52200,1.0,Y,17,8,0,1.0,3,1,1,0
7.827246764836945,6,3,3,1.0,3.0,3.0,48,Travel_Rarely,Human Resources,2,4,Medical,1,3418,Male,2,Sales Executive,Single,45540,2.0,Y,11,8,2,19.0,3,2,2,2
10.523103525211944,2,2,4,3.0,2.0,3.0,36,Travel_Rarely,Research & Development,2,4,Medical,1,670,Male,1,Healthcare Representative,Single,27250,9.0,Y,21,8,1,18.0,4,16,5,12
6.073225122713056,15,3,3,4.0,1.0,3.0,40,Travel_Rarely,Research & Development,1,4,Life Sciences,1,3815,Male,2,Laboratory Technician,Married,69320,1.0,Y,13,8,0,5.0,5,5,1,2
6.135339134315,10,3,3,3.0,3.0,3.0,42,Non-Travel,Research & Development,1,1,Technical Degree,1,2880,Male,2,Sales Executive,Divorced,78790,2.0,Y,11,8,1,11.0,2,5,0,2
7.2587204373047225,12,2,3,4.0,4.0,2.0,58,Travel_Rarely,Sales,2,2,Medical,1,4279,Female,1,Research Scientist,Married,43850,1.0,Y,13,8,1,40.0,2,40,15,6
7.602842481035,7,4,3,2.0,4.0,2.0,42,Travel_Frequently,Research & Development,9,4,Medical,1,327,Male,1,Manufacturing Director,Divorced,92080,1.0,Y,15,8,1,24.0,2,24,14,9
6.737426372155277,16,3,4,4.0,1.0,,50,Travel_Frequently,Research & Development,25,4,Life Sciences,1,2080,Female,2,Healthcare Representative,Married,32020,2.0,Y,24,8,1,32.0,2,2,2,2
6.957549085229722,12,3,3,3.0,3.0,3.0,30,Travel_Frequently,Research & Development,4,5,Technical Degree,1,244,Male,3,Manager,Divorced,57720,1.0,Y,17,8,0,1.0,3,1,0,0
6.339612896028333,14,2,3,2.0,1.0,1.0,31,Travel_Rarely,Research & Development,9,1,Medical,1,3165,Female,1,Sales Representative,Divorced,189470,2.0,Y,12,8,2,9.0,2,3,1,2
7.411528335564444,19,4,3,3.0,1.0,3.0,37,Travel_Rarely,Research & Development,5,3,Life Sciences,1,3047,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3
7.124434404283611,12,3,3,4.0,4.0,2.0,32,Travel_Rarely,Sales,4,3,Marketing,1,769,Male,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,4,0,3
8.267090584560277,10,3,3,3.0,4.0,3.0,29,Travel_Frequently,Sales,3,2,Marketing,1,2220,Female,2,Laboratory Technician,Single,68110,0.0,Y,15,8,1,9.0,2,8,7,7
5.749561579651667,17,3,3,4.0,3.0,3.0,44,Non-Travel,Research & Development,20,3,Life Sciences,1,605,Male,1,Sales Representative,Single,45560,2.0,Y,13,8,0,6.0,4,0,0,0
